	date	sales_cost	visita_criada_day	week_day	is_weekend
0	2022-01-01	160014.19	72	5	True
1	2022-01-02	196044.23	114	6	True
2	2022-01-03	250172.44	239	0	False
3	2022-01-04	277121.35	210	1	False
4	2022-01-05	313936.44	178	2	False
5	2022-01-06	339530.56	183	3	False
6	2022-01-07	369165.65	166	4	False
7	2022-01-08	364351.9	173	5	True
8	2022-01-09	371305.39	152	6	True
9	2022-01-10	489550.9	231	0	False
10	2022-01-11	580104.03	219	1	False
11	2022-01-12	610245.19	157	2	False
12	2022-01-13	664054.64	216	3	False
13	2022-01-14	658760.33	235	4	False
14	2022-01-15	621096.22	166	5	True
15	2022-01-16	627664.39	163	6	True
16	2022-01-17	729875.94	211	0	False
17	2022-01-18	707509.55	211	1	False
18	2022-01-19	718195.77	182	2	False
19	2022-01-20	696944.83	190	3	False
20	2022-01-21	596363.2	164	4	False
21	2022-01-22	554962.98	130	5	True
22	2022-01-23	561106.99	149	6	True
23	2022-01-24	554811.85	202	0	False
24	2022-01-25	512019.68	221	1	False
25	2022-01-26	519489.0	235	2	False
26	2022-01-27	521707.44	187	3	False
27	2022-01-28	512575.08	199	4	False
28	2022-01-29	506585.2	165	5	True
29	2022-01-30	498117.18	159	6	True
30	2022-01-31	508630.9	244	0	False
31	2022-02-01	544749.94	216	1	False
32	2022-02-02	571978.89	258	2	False
33	2022-02-03	554436.83	202	3	False
34	2022-02-04	519868.53	181	4	False
35	2022-02-05	500734.08	149	5	True
36	2022-02-06	506496.1	161	6	True
37	2022-02-07	558815.8	235	0	False
38	2022-02-08	583022.71	236	1	False
39	2022-02-09	635610.18	227	2	False
40	2022-02-10	627593.39	258	3	False
41	2022-02-11	591833.64	234	4	False
42	2022-02-12	576454.4	154	5	True
43	2022-02-13	573725.3	164	6	True
44	2022-02-14	672632.44	218	0	False
45	2022-02-15	675005.49	215	1	False
46	2022-02-16	586834.4	228	2	False
47	2022-02-17	647765.51	199	3	False
48	2022-02-18	603519.0	219	4	False
49	2022-02-19	518374.38	137	5	True
50	2022-02-20	527446.27	159	6	True
51	2022-02-21	577245.55	210	0	False
52	2022-02-22	564308.35	206	1	False
53	2022-02-23	492006.37	182	2	False
54	2022-02-24	435101.79	158	3	False
55	2022-02-25	385777.66	137	4	False
56	2022-02-26	360600.95	104	5	True
57	2022-02-27	368100.26	86	6	True
58	2022-02-28	400897.67	127	0	False
59	2022-03-01	424410.86	111	1	False
60	2022-03-02	443183.18	193	2	False
61	2022-03-03	317463.7	178	3	False
62	2022-03-04	233267.8	166	4	False
63	2022-03-05	215454.25	171	5	True
64	2022-03-06	239093.53	147	6	True
65	2022-03-07	247949.91	185	0	False
66	2022-03-08	224439.42	150	1	False
67	2022-03-09	235433.08	187	2	False
68	2022-03-10	229233.46	195	3	False
69	2022-03-11	216954.38	159	4	False
70	2022-03-12	193113.94	153	5	True
71	2022-03-13	203957.95	151	6	True
72	2022-03-14	225139.36	168	0	False
73	2022-03-15	226267.89	212	1	False
74	2022-03-16	241541.36	161	2	False
75	2022-03-17	230545.11	166	3	False
76	2022-03-18	225879.88	160	4	False
77	2022-03-19	200919.72	127	5	True
78	2022-03-20	219752.96	126	6	True
79	2022-03-21	253134.99	189	0	False
80	2022-03-22	237860.71	197	1	False
81	2022-03-23	260579.79	207	2	False
82	2022-03-24	246516.23	195	3	False
83	2022-03-25	232944.28	165	4	False
84	2022-03-26	222551.87	127	5	True
85	2022-03-27	230384.66	141	6	True
86	2022-03-28	250386.83	174	0	False
87	2022-03-29	236163.12	204	1	False
88	2022-03-30	226966.75	175	2	False
89	2022-03-31	232017.09	173	3	False
90	2022-04-01	218257.07	174	4	False
91	2022-04-02	215972.78	153	5	True
92	2022-04-03	226979.63	150	6	True
93	2022-04-04	254153.78	193	0	False
94	2022-04-05	240013.51	188	1	False
95	2022-04-06	230229.36	162	2	False
96	2022-04-07	216461.01	168	3	False
97	2022-04-08	201068.12	140	4	False
98	2022-04-09	191151.4	122	5	True
99	2022-04-10	196924.59	104	6	True
100	2022-04-11	218671.74	164	0	False
101	2022-04-12	202556.27	155	1	False
102	2022-04-13	205655.61	139	2	False
103	2022-04-14	198706.76	153	3	False
104	2022-04-15	165678.57	105	4	False
105	2022-04-16	162391.26	130	5	True
106	2022-04-17	185783.15	103	6	True
107	2022-04-18	223595.03	167	0	False
108	2022-04-19	226816.7	188	1	False
109	2022-04-20	213169.55	183	2	False
110	2022-04-21	217394.74	148	3	False
111	2022-04-22	220830.9	164	4	False
112	2022-04-23	198556.61	129	5	True
113	2022-04-24	237875.56	115	6	True
114	2022-04-25	265374.89	177	0	False
115	2022-04-26	226245.74	149	1	False
116	2022-04-27	273253.23	150	2	False
117	2022-04-28	246668.9	147	3	False
118	2022-04-29	234020.52	142	4	False
119	2022-04-30	221108.66	100	5	True
120	2022-05-01	245829.15	121	6	True
121	2022-05-02	278748.15	167	0	False
122	2022-05-03	247574.05	184	1	False
123	2022-05-04	217881.85	164	2	False
124	2022-05-05	215028.35	126	3	False
125	2022-05-06	210378.47	105	4	False
126	2022-05-07	213245.64	97	5	True
127	2022-05-08	216122.7	89	6	True
128	2022-05-09	250207.99	162	0	False
129	2022-05-10	225888.13	140	1	False
130	2022-05-11	235307.89	123	2	False
131	2022-05-12	194586.38	135	3	False
132	2022-05-13	214513.31	119	4	False
133	2022-05-14	206542.92	104	5	True
134	2022-05-15	209059.07	104	6	True
135	2022-05-16	219754.43	179	0	False
136	2022-05-17	197668.28	127	1	False
137	2022-05-18	190321.95	116	2	False
138	2022-05-19	198408.41	120	3	False
139	2022-05-20	170561.52	105	4	False
140	2022-05-21	150617.95	90	5	True
141	2022-05-22	156275.84	76	6	True
142	2022-05-23	177679.08	149	0	False
143	2022-05-24	178612.93	111	1	False
144	2022-05-25	182228.19	127	2	False
145	2022-05-26	165726.52	128	3	False
146	2022-05-27	154424.87	141	4	False
147	2022-05-28	150617.56	117	5	True
148	2022-05-29	168117.61	83	6	True
149	2022-05-30	346112.19	166	0	False
150	2022-05-31	313994.88	147	1	False
151	2022-06-01	176123.62	133	2	False
152	2022-06-02	172082.91	122	3	False
153	2022-06-03	164794.35	100	4	False
154	2022-06-04	163422.82	88	5	True
155	2022-06-05	183859.99	88	6	True
156	2022-06-06	166049.67	132	0	False
157	2022-06-07	145978.63	145	1	False
158	2022-06-08	135973.54	147	2	False
159	2022-06-09	122544.71	121	3	False
160	2022-06-10	101387.92	116	4	False
161	2022-06-11	86025.28	91	5	True
162	2022-06-12	94330.19	80	6	True
163	2022-06-13	95993.43	136	0	False
164	2022-06-14	101166.2	133	1	False
165	2022-06-15	92812.38	119	2	False
166	2022-06-16	91318.56	85	3	False
167	2022-06-17	88418.81	129	4	False
168	2022-06-18	88182.9	101	5	True
169	2022-06-19	93837.94	107	6	True
170	2022-06-20	100951.29	163	0	False
171	2022-06-21	95499.5	139	1	False
172	2022-06-22	168756.33	117	2	False
173	2022-06-23	173781.59	125	3	False
174	2022-06-24	173284.84	137	4	False
175	2022-06-25	167018.08	89	5	True
176	2022-06-26	177432.0	135	6	True
177	2022-06-27	158342.03	154	0	False
178	2022-06-28	130843.95	146	1	False
179	2022-06-29	118759.69	120	2	False
180	2022-06-30	115597.73	126	3	False
181	2022-07-01	112170.68	95	4	False
182	2022-07-02	104235.99	73	5	True
183	2022-07-03	111347.08	74	6	True
184	2022-07-04	88407.79	120	0	False
185	2022-07-05	83719.84	120	1	False
186	2022-07-06	89138.88	124	2	False
187	2022-07-07	95254.17	130	3	False
188	2022-07-08	84011.6	96	4	False
189	2022-07-09	75697.85	86	5	True
190	2022-07-10	82062.23	88	6	True
191	2022-07-11	108240.32	131	0	False
192	2022-07-12	117912.77	144	1	False
193	2022-07-13	112364.81	110	2	False
194	2022-07-14	114885.88	110	3	False
195	2022-07-15	125646.45	124	4	False
196	2022-07-16	119319.57	92	5	True
197	2022-07-17	131097.26	101	6	True
198	2022-07-18	146876.67	146	0	False
199	2022-07-19	131008.83	124	1	False
200	2022-07-20	116684.93	123	2	False
201	2022-07-21	108803.81	137	3	False
202	2022-07-22	106945.13	123	4	False
203	2022-07-23	89682.45	83	5	True
204	2022-07-24	99929.39	96	6	True
205	2022-07-25	130026.32	163	0	False
206	2022-07-26	115628.69	131	1	False
207	2022-07-27	94117.15	130	2	False
208	2022-07-28	66083.77	114	3	False
209	2022-07-29	60231.45	107	4	False
210	2022-07-30	52663.38	84	5	True
211	2022-07-31	57151.88	74	6	True
212	2022-08-01	86609.94	135	0	False
213	2022-08-02	105782.05	152	1	False
214	2022-08-03	36281.93	93	2	False
